
# Surface 0 of 1 surfaces

# Curve title: "sprintf('fS_M%d.dat', M) u 1:2:($3/1000) binary matrix"

# Contour 0, label:        2
1.05234 -1.06158 2 
1.05328 -1.06271 2 
1.06186 -1.07308 2 
1.06271 -1.07411 2 
1.07044 -1.08344 2 
1.07308 -1.08665 2 
1.07902 -1.09381 2 
1.08344 -1.09918 2 
1.08759 -1.10418 2 
1.09381 -1.11172 2 
1.09616 -1.11455 2 
1.10418 -1.12426 2 
1.10473 -1.12492 2 
1.11331 -1.13528 2 
1.11455 -1.13679 2 
1.12189 -1.14565 2 
1.12492 -1.14933 2 
1.13046 -1.15602 2 
1.13528 -1.16189 2 
1.13898 -1.16639 2 
1.14565 -1.17457 2 
1.14745 -1.17676 2 
1.15591 -1.18712 2 
1.15602 -1.18726 2 
1.16439 -1.19749 2 
1.16639 -1.19994 2 
1.17287 -1.20786 2 
1.17676 -1.21263 2 
1.18134 -1.21823 2 
1.18712 -1.22532 2 
1.18981 -1.2286 2 
1.19749 -1.23801 2 
1.19828 -1.23896 2 
1.20675 -1.24933 2 
1.20786 -1.25069 2 
1.21523 -1.2597 2 
1.21823 -1.26338 2 
1.2237 -1.27007 2 
1.2286 -1.27607 2 
1.23217 -1.28043 2 
1.23896 -1.28876 2 
1.24064 -1.2908 2 
1.24911 -1.30117 2 
1.24933 -1.30144 2 
1.25759 -1.31154 2 
1.2597 -1.31413 2 
1.26604 -1.32191 2 
1.27007 -1.3269 2 
1.27442 -1.33227 2 
1.28043 -1.33973 2 
1.28279 -1.34264 2 
1.2908 -1.35256 2 
1.29116 -1.35301 2 
1.29955 -1.36338 2 
1.30117 -1.3654 2 
1.30793 -1.37375 2 
1.31154 -1.37823 2 
1.31631 -1.38411 2 
1.32191 -1.39106 2 
1.32468 -1.39448 2 
1.33227 -1.40389 2 
1.33305 -1.40485 2 
1.34143 -1.41522 2 
1.34264 -1.41672 2 
1.34981 -1.42559 2 
1.35301 -1.42955 2 
1.35819 -1.43595 2 
1.36338 -1.44239 2 
1.36657 -1.44632 2 
1.37375 -1.45522 2 
1.37494 -1.45669 2 
1.38332 -1.46706 2 
1.38411 -1.46805 2 
1.3917 -1.47742 2 
1.39448 -1.48088 2 
1.40008 -1.48779 2 
1.40485 -1.49371 2 
1.40845 -1.49816 2 

# Contour 1, label: 
0.580329 -0.513211 2 
0.585786 -0.519287 2 
0.589669 -0.523579 2 
0.596154 -0.530794 2 
0.599009 -0.533947 2 
0.606522 -0.5423 2 
0.608347 -0.544314 2 
0.61689 -0.553807 2 
0.617683 -0.554682 2 
0.627022 -0.56505 2 
0.627258 -0.565313 2 
0.63631 -0.575418 2 
0.637625 -0.576909 2 
0.645511 -0.585786 2 
0.647993 -0.588599 2 
0.654709 -0.596154 2 
0.658361 -0.600289 2 
0.663906 -0.606522 2 
0.668729 -0.611979 2 
0.673101 -0.61689 2 
0.679097 -0.623668 2 
0.682294 -0.627258 2 
0.689465 -0.635358 2 
0.691483 -0.637625 2 
0.699833 -0.647148 2 
0.700576 -0.647993 2 
0.709631 -0.658361 2 
0.710201 -0.659017 2 
0.718694 -0.668729 2 
0.720569 -0.670886 2 
0.727755 -0.679097 2 
0.730936 -0.682755 2 
